epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,845.164,0.62362,0.80008,1.03497,0.64024,0.73631,0.73179,0.61014,0.73752,0.98004,0.98779,0.000540037,0.000540037,0.000540037
43,864.057,0.63436,0.81313,1.04523,0.62319,0.73163,0.73906,0.59456,0.8001,0.98508,1.02752,0.000531038,0.000531038,0.000531038
44,883.895,0.6555,0.77626,1.05501,0.62577,0.74031,0.73364,0.58931,0.76653,1.00583,1.00917,0.000522039,0.000522039,0.000522039
45,902.65,0.62646,0.80081,1.05545,0.65968,0.72973,0.74146,0.61472,0.74341,0.98476,0.97773,0.00051304,0.00051304,0.00051304
46,922.571,0.65347,0.8007,1.06033,0.65978,0.72916,0.73878,0.59095,0.80994,0.97304,1.01267,0.00050404,0.00050404,0.00050404
47,941.321,0.62402,0.77948,1.05308,0.66906,0.69111,0.72705,0.60264,0.7528,1.08076,0.99129,0.000495041,0.000495041,0.000495041
48,960.48,0.62972,0.78421,1.04693,0.6743,0.71956,0.73641,0.60069,0.75218,0.96504,0.99137,0.000486042,0.000486042,0.000486042
49,980.355,0.62265,0.7781,1.05057,0.61716,0.67726,0.68286,0.56904,0.73103,1.04732,0.96197,0.000477043,0.000477043,0.000477043
50,999.199,0.63636,0.75558,1.04195,0.70298,0.72305,0.75402,0.61613,0.74021,0.95261,0.96597,0.000468044,0.000468044,0.000468044
51,1019.36,0.60925,0.75882,1.04494,0.64187,0.75,0.73862,0.61558,0.73526,0.96616,0.97608,0.000459045,0.000459045,0.000459045
52,1038.46,0.62418,0.75162,1.04712,0.66097,0.7089,0.72579,0.60565,0.74022,1.03867,0.97472,0.000450046,0.000450046,0.000450046
